dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/cleaningMethod|N|||text||70|1|N|||||||||E|N|en|Cleaning Method|cleaningMethod<br>Qualifier: AVP198<br>Indicates the method in which to clean the product.|Horizontal|Text|1100|Left|200|Left||||Active||NULL|
kroClosureType|Y||10|text||70|1|N|KroEcommClosureTypeVV||||||||E|N|en|Closure Type|The closure mechanism(s) on this garment.|Horizontal|Dropdown|1200|Left|200|Left||||Active||NULL|
kroNumberOfPieces|N||1|integer||10|1||||||||||E|N|en|Included » Number of Pieces|The number of included pieces.|Horizontal|Integer|1400|Left|200|Left||||Active||NULL|
kroStyleDescription|N||1|text||70|1|N|||||||||E|N|en|Style Description|Describes the style of the product.|Horizontal|Text|1300|Left|200|Left||||Active||NULL|
nonPackagedSizeDimension/descriptiveSizeDimension|Y|nonPackagedSizeDimension|100|text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|R|N|en|Descriptive Size Dim|descriptiveSizeDimension<br>Qualifier: CRE047<br>The textual representation of the size dimension specified by the size type.|LoopGroup|Text|200|Right|200|Left||||Active|O|NULL|
nonPackagedSizeDimension/sizeDimension|N|nonPackagedSizeDimension|100|float|15|30|15|||M|uom|text||5|2|uom|R|N|en|Size Dimension|The numerical size measurement of the size dimension specified by the size type.|LoopGroup|Float|300|Right|200|Left||||Active|O|NULL|
nonPackagedSizeDimension/sizeSystemCode|N|nonPackagedSizeDimension|100|text||80|1||SizeSystem||||||||R|N|en|Size System|sizeSystem<br>Qualifier: CRE050<br>The system that is used to define the size. It is used in conjunction with size group to completely de-fine the size dimension.|LoopGroup|DropDown|400|Right|200|Left||||Active|O|NULL|
nonPackagedSizeDimension/sizeTypeCode|N|nonPackagedSizeDimension|100|text||80|1||SizeType||||||||R|N|en|Size Type|sizeType<br>Qualifier: CRE046<br>The type of size dimension being specified by the size measurement.|LoopGroup|DropDown|500|Right|200|Left||||Active|O|NULL|
productSize/code|N|productSize|100|text||50|1|N|||||||||E|N|en|Product Size Code|The value from an industry specific code list required to identify the size of the trade item. Can be a combination of values which fully describes the trade item size.|LoopGroup|Text|600|Left|200|Left||||Active||NULL|
productSize/descriptiveSize|Y|productSize|100|text||35|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Descriptive Size|The textual representation of all size dimensions concatenated into a single descriptor. <br>S, M, L, XL, 31 x 34, 29 x 32, etcetera.|LoopGroup|Text|800|Left|200|Left||||Active||MANDATORY_BEFORE|
productSize/maintenanceAgency|N|productSize|100|text||3|1|N|ProductSizeCodeAgencies||||||||E|N|en|Product Size Code Maintenance Agency|The parties controlling the code list for size.|LoopGroup|Dropdown|700|Left|200|Left||||Active||MANDATORY_BEFORE|
sizeGroupCode|N|||text||80|1||SizeGroup||||||||R|N|en|Size Group|sizeGroup<br>Qualifier: CRE045<br>A description of the variable size that is necessary to uniquely specify the size of the item in conjunction with the non-packaged size dimension.|Horizontal|DropDown|100|Right|200|Left||||Active||NULL|
targetConsumerAge|Y|||text||70|1|||M|lang|text||5|1|StandardLanguageCodes_hub|E|N|en|Target Consumer Age|Identifies the target consumer age range for which a trade item has been designed.|Horizontal|Text|1000|Left|200|Left||||Active||MANDATORY_BEFORE|
targetConsumerGender|N|||text||60|1|N|TargetConsumerGender||||||||E|N|en|Target Consumer Gender|Identifies the target consumer gender for which a product has been designed.|Horizontal|Dropdown|900|Left|200|Left||||Active||NULL|
