dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy|dummy
avp/displayScreenSize|Y||100|float|15|15|9||||uom|text||3|1|DimensionsUOM|E|N|en|Display/Screen Size|displayScreenSize<br>Qualifier: AVP219<br>Describes the viewable display/screen size of the product. Includes small screen products, includes cameras, etc.|Horizontal|Float|100|Left|200|Left||||Active||NULL|AVP
avp/fileFormats|Y||10|text||70|1|N|||||||||E|N|en|File Formats|fileFormats<br>Qualifier: AVP771<br>Describes the types of files the product supports.|Horizontal|Text|2800|Left|200|Left||||Active||NULL|AVP
avp/hasACDCAdapterIncluded|N|||boolean|||||||||||||E|N|en|Has AC/DC Adapter Included?|hasACDCAdapterIncluded<br>Qualifier: AVP256<br>Indicates whether or not the product includes an AC/DC adapter.|Horizontal|Boolean|300|Left|200|Left||||Active||NULL|AVP
avp/hasCarAdapter|N|||boolean|||||||||||||E|N|en|Has Car Adapter?|hasCarAdapter<br>Qualifier: AVP286<br>Indicates whether or not the product has a car adapter.|Horizontal|Boolean|400|Left|200|Left||||Active||NULL|AVP
avp/hasTouchScreen|N|||boolean|||||||||||||E|N|en|Has Touch Screen?|hasTouchScreen<br>Qualifier: AVP410<br>Indicates whether or not the product has a touch screen.|Horizontal|Boolean|2500|Left|200|Left||||Active||NULL|AVP
avp/isBuiltIntoDigitalCamera|N|||boolean|||||||||||||E|N|en|Is Built Into Digital Camera?|isBuiltIntoDigitalCamera<br>Qualifier: AVP442<br>Indicates whether or not the Product has a built-in Digital Camera. Digital Camera is not the primary function of this product.|Horizontal|Boolean|1900|Left|200|Left||||Active||NULL|AVP
avp/networkingTechnologyType|Y||3|text||70|1|N|||||||||E|N|en|Networking Technology Type|networkingTechnologyType<br>Qualifier: AVP521<br>Describes the product's type of networking technology.|Horizontal|Text|1500|Left|200|Left||||Active||NULL|AVP
avp/radioTunerType|Y||3|text||70|1|N|||||||||E|N|en|Radio Tuner Type|radioTunerType<br>Qualifier: AVP630<br>Indicates the type of radio tuner included in the product.|Horizontal|Text|2600|Left|200|Left||||Active||NULL|AVP
avp/softwareTypesIncluded|Y||3|text||70|1|N|||||||||E|N|en|Software Types Included|softwareTypesIncluded<br>Qualifier: AVP654<br>Indicates the software types included with the product.|Horizontal|Text|2300|Left|200|Left||||Active||NULL|AVP
avp/hasBuiltInBattery|N|||boolean|||||||||||||E|N|en|Has Built In Battery?|hasBuiltInBattery<br>Qualifier: AVP829<br>Indicates whether the Product has a Built in Battery rather than Replaceable Battery.|Horizontal|Boolean|500|Left|200|Left||||Active||NULL|AVP
avp/requiredPowerSupplyWattage|N|||float|5|7|2||||||||||E|N|en|Required Power Supply Wattage|requiredPowerSupplyWattage<br>Indicates the minimum required power supply wattage from the computer system power supply required to operate the product.|Horizontal|Float|2000|Left|200|Left||||Active||NULL|AVP
kroBatterySize|N||1|text||70|1|N|KroBatterySizeVV||||||||E|N|en|Battery Size|Indicates the size of the battery.|Horizontal|Dropdown|600|Left|200|Left||||Active||NULL|157; PI152_QA09
areBatteriesIncluded|N|||boolean|||||||||||||E|N|en|Are Batteries Included?|Indicates if batteries are either included or not included with the game.|Horizontal|Boolean|700|Left|200|Left||||Active||NULL|159; PI152_QA09
areBatteriesRequired|N|||boolean|||||||||||||E|N|en|Are Batteries Required?|Indicates if batteries are required to operate the item.|Horizontal|Boolean|800|Left|200|Left||||Active||NULL|160
batteryTypeInformation/batteryTechnologyType|Y|batteryTypeInformation|100|text||70|1|N|BatteryTechnologyTypeCodeList||||||||E|N|en|Battery Technology Type|Describes the type of battery technology used by this device.|LoopGroup|Multi_Select_List|900|Left|200|Left||||Active|O|NULL|519; PI152_QA09
batteryTypeInformation/quantityOfBatteriesBuiltIn|N|batteryTypeInformation|100|integer||6|1||||||||||E|N|en|Qty of Batteries Built In|The number of batteries included with and built into the trade item during manufacturing which cannot be changed or removed.|LoopGroup|Integer|1000|Left|200|Left||||Active|O|NULL|546
batteryTypeInformation/quantityOfBatteriesRequired|N|batteryTypeInformation|100|integer||6|1||||||||||E|N|en|Qty of Batteries Reqd|quantityOfBatteriesRequired<br>Qualifier: ENT009<br>The number of batteries required to operate the trade item.|LoopGroup|Integer|1100|Left|200|Left||||Active|O|NULL|161; PI52_QA15
batteryTypeInformation/batteryWeight|N|batteryTypeInformation|100|float|23|53|15|||M|uom|text||3|1|MassUOM|E|N|en|Battery Weight|The weight of each battery included with or built into the trade item.|LoopGroup|Float|1200|Left|200|Left||||Active|O|NULL|547
kroBatteryLife|N|||integer||4|1||||||||||E|N|en|Battery Life|How long the battery lasts.|Horizontal|Integer|2100|Left|200|Left||||Active||NULL|194; PI152_QA10
kroBatteryLifeUOM|N|||text||70|1|N|KroBatteryLifeUOMVV||||||||E|N|en|Battery Life UOM|Unit of Measure for Battery Life|Horizontal|Dropdown|2200|Left|200|Left||||Active||NULL|195; PI152_QA10
kroDisplayResolution|N|||text||30|1|N|KroDisplayResolutionVV||||||||E|N|en|Display Resolution|The display resolution of a television or computer display. This typically refers to the number of distinct pixels in each dimension that can be displayed.|Horizontal|Dropdown|200|Left|200|Left||||Active||NULL|172; PI152_QA09
kroAudioVisualConnection/kroConnectionType|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionTypeVV||||||||E|N|en|Connection Type|The types of Standard or Basic Connection Types that are available expressed as a code.|LoopGroup|Dropdown|1600|Left|60|Left||||Active||NULL|180
kroAudioVisualConnection/kroConnectionInputDirection|N|kroAudioVisualConnection|100|text||70|1|N|KroConnectionInputDirectionVV||||||||E|N|en|Direction|The directions of connections (input, output) that are available expressed as a code value.|LoopGroup|Dropdown|1700|Left|60|Left||||Active||NULL|181
kroAudioVisualConnection/kroConnectionQuantity|N|kroAudioVisualConnection|100|integer||4|1||||||||||E|N|en|Quantity|The number of audio visual connections available on the unit expressed as a code.|LoopGroup|Integer|1800|Left|60|Left||||Active||NULL|182
remoteControlTypeCode|N|||text||80|1||RemoteControlTypeCode||||||||E|N|en|Remote Control Type|remoteControlType<br>Qualifier: AVP635<br>Describes the type of remote control included with the product.|Horizontal|DropDown|2700|Right|200|Left||||Active|O|NULL|MJR3
kroHardDriveSize|N|||float|7|14|7||||||||||E|N|en|Hard Drive Size|Describes the hard drive that is included in the product.|Horizontal|Float|1300|Left|200|Left||||Active||MANDATORY_BEFORE|173; PI152_QA11
